1	Alb	H3P11	H3P11	H3P11
2	Alcam	H1P4	H3P5	H3P4
3	Arg1	H3P5	H3P5	H3P5
4	Baiap2	H1P4	H3P5	H3P9	Fibroblast
5	Bglap	H3P4	H3P4	H3P4
6	Ccnb1	H1P4	H3P4	H2P9
7	Col1a1	H1P4	H3P11	H2P9
8	Crhr2	H1P4	H3P11	H3P9	CM
9	Cspg4	H1P4	H3P11	eef2-r	SM/pericyte
10	Cx3cr1	H1P4	H3P4	H3P9	Immune
11	Cxcl12	H1P4	H3P4	eef2-r	Endo
12	Dlk1	H1P4	H2P9	H3P9
13	Eef2	eef2-r	eef2-r	eef2-r	General
14	Glul	H1P4	H3P9	eef2-r	General
15	Kit	H3P5	H3P11	H3P4	Endo
16	Kitl	H3P5	H3P11	H2P9	Endo
17	Ly6a	H2P9	H2P9	H2P9	Endo
18	Lyve1	H3P5	H3P11	eef2-r	Immune
19	Mcam	H3P5	H3P4	H2P9	SM/pericyte
20	Mki67	H3P5	H3P4	H3P9	Endo
21	Mrc1	H3P5	H3P4	eef2-r	Immune
22	Pecam1	H3P5	H2P9	eef2-r	Endo
23	Pdgfra	H3P5	H2P9	H3P9	Fibroblast
24	Ptprc	H3P5	H3P9	eef2-r	Immune
25	S100a6	H1P4	H1P4	H1P4	Fibroblast
26	Selplg	H3P11	H3P4	H3P9	Immune
27	Sgk3	H1P4	H3P5	H2P9
28	Snhg6	H1P4	H3P5	eef2-r
29	Sox6	H3P11	H3P4	eef2-r	CM
30	Tert	H3P11	H2P9	H3P9
31	Tet2	H3P11	H3P9	eef2-r	General
32	Ung	H3P4	H2P9	eef2-r	CM	
